ggen,paricle,ja,fr,de,zh-cn,it,es,ru,el,da
for,接続詞,というのも,pour,für,该对,per,por,за,Για,til
call,動詞,呼ぶ,l'appel,Anruf,通话,chiamare,llamar,звонить,για να καλέσετε,at ringe
direction,名詞,方向,la direction,Richtung,方向,direzione,dirección,направление,κατεύθυνση,retning
equal,動詞,等しい,l'égalité,gleich,平等,a pari,A igual,равному,σε ίσο,til lig
equal,形容詞,等しい,l'égalité,gleich,平等,pari,igual,равный,ίσος,lige
field,名詞,場 (e.g. 電磁場),champ,Feld,场,campo,campo,поле,πεδίο,Mark
first,形容詞,最初の,la première,Erste,首先,primo,primero,первый,πρώτα,først
following,形容詞,以下のような,suivant,folgende,下列,seguente,siguiendo,следующий,ΕΠΟΜΕΝΟ,følge
parallel,形容詞,平行な,parallèle,parallelen,并行,parallelo,paralela,параллель,παράλληλο,parallel
place,名詞,場所,lieu,Ort,的地方,posto,lugar,место,θέση,placere
synchronous,形容詞,同期した,synchrone,synchrone,同步,sincrono,sincrónico,синхронно,σύγχρονος,synkron
than,接続詞・前置詞,より,l'que,als,在比,di,que,чем,από,end
by,前置詞,によって,par,durch,通过该,di,por,по,με,ved
the,冠詞,,la les,die,在该,il,la,а,ο,det
with,前置詞,とともに,avec,mit,和,insieme a,con,с,με,med
be,動詞,be 動詞の原形,être,sein,是,essere,ser,быть,είναι,være
assume,動詞,仮定する,présumer,annehmen,假设,assumere,asumir,предположить,να υποθέσω,at antage
can,助動詞,できる,pouvoir,können,可,Potere,pueden,Можно,μπορώ,kan
editor,名詞,編集者,l'éditeur,Editor,编辑,editore,editor,редактор,συντάκτης,redaktør
event,名詞,事象 (物理の専門用語としての訳),l'événement,Ereignis,事件,evento,evento,мероприятие,Εκδήλωση,begivenhed
find,動詞,見つける,trouver,finden,找到,trovare,encontrar,найти,να βρω,at finde
good,形容詞,良い,bon,gute,良好,Buona,bueno,хороший,Καλός,godt
measuring-rod,名詞,測定棒,la tige de mesure,Messstab,测量杆,Misuration-Rod,vara de medir,измерение,ράβδος μέτρησης,måle-stang
only,副詞,のみ,seul,einzige,唯一的,solo,solamente,Только,μόνο,kun
the part,名詞,部、部分,la partie,Teil,那个部分,la parte,la parte,часть,το μέρος,den del
since,接続詞,...だから,depuis,seit,在自,da,ya que,поскольку,Από,siden
small,形容詞,小さい,petit,kleine,小,piccolo,pequeña,маленький,μικρό,lille
so,副詞,そのように,soi,so,所谓,Così,asi que,так,Έτσι,så
unit,名詞,単位,l'unité,Einheit,那个单位,unità,unidad,Ед. изм,μονάδα,enhed
what,関係代名詞、疑問詞,何,quoi,was,在什么,che cosa,qué,какие,τι,hvad
the accordance,名詞,一致、合致、調和,la conformité,gemäß,按照该,la conformità,el acuerdo,Соглашение,τη συμφωνία,i overensstemmelse
the case,名詞,場合,l'affaire,Fall,案子,il caso,el caso,дело,η υπόθεση,sagen
the conductor,名詞,導体,conducteur,Schaffner,导体,il conduttore,el conductor,проводник,ο αγωγός,lederen
determine,動詞,決める,déterminer,bestimmen,确定,determinare,para determinar,определить,να καθορίσει,at bestemme
develop,動詞,発展する,développer,entwickeln,发展,sviluppare,desarrollar,развивать,για να αναπτυχθεί,at udvikle
electromagnetic,形容詞,電磁的,électromagnétique,elektromagnetische,电磁,elettromagnetico,electromagnético,электромагнитный,ηλεκτρομαγνητικός,elektromagnetisk
empty,形容詞,空の,vide,leere,空,vuoto,vacío,пустой,αδειάζω,tom
the function,名詞,関数,la fonction,Funktion,功能,la funzione,la función,функция,η λειτουργία,funktionen
hold,動詞,保持する、成り立つ,la cale,Halt,保持,tenere,sostener,держать,να κρατήσω,at holde
imagine,動詞,想像する,l'imaginer,vorstellen,在想象,immaginare,imaginar,представить,φαντάζομαι,at forestille sig
the law,名詞,物理法則,la loi,Gesetz,法律,la legge,la Ley,закон,ο νόμος,loven
the line,名詞,線,la ligne,Linie,行,la linea,la línea,линия,η γραμμή,linjen
the magnet,名詞,磁石,l'aimant,Magnet,磁铁,il magnete,el imán,магнит,ο μαγνήτης,Magneten
the position,名詞,位置,la position,Position,位置,la posizione,la posición,позиция,η θεση,positionen
second,名詞,2,la deuxième,Zweite,第二,il secondo,el segundo,секунда,το δεύτερο,Sekundet
second,名詞,秒,la deuxième,Sekunde,第二,il secondo,el segundo,секунда,το δεύτερο,Sekundet
state,動詞,述べる,établir,sagen,说明,a dichiarare,a estado,в заявление,να δηλώσω,at angive
the state,名詞,状態,l'état,Staat,国家,lo stato,el estado,штат,το κράτος,staten
such,形容詞,そのような,tel le,solche,在这样的,tale,tal,такой,τέτοιος,sådan
valid,形容詞,妥当な,la validité,gültig,有效,valido,válido,действительный,έγκυρος,gyldig
