ドイツ語,日本語,英語,フランス語,イタリア語,スペイン語,ギリシャ語,ロシア語,デンマーク後,簡体字
de,ja,en,fr,it,es,el,ru,da,zh
ab,あちらへ,away,une façon,lontano,lejos,Μακριά,прочь,væk,离开
aber,しかし,but,mais,ma,pero,αλλά,но,men,但
Aberration,収差,Aberration,Aberration,Aberrazione,Aberración,Εκτροπή,Аберрация,Aberration,畸变
Aberrationsgesetz,異常法,Aberration law,Droit d'aberration,Legge sull'aberrazione,Ley de aberración,Εκτροπή του νόμου,Закон аберрации,Aberrationslov,畸变法
abgeben,引き渡す,hand over,remettre,devolvere,Entregar,παραδίνω,сдавать,hånd over,交出
abhängig,依存,dependent,dépendant,dipendente,dependiente,εξαρτώμενος,зависимый,afhængig,依赖
Ableitung,導出,Derivation,Dérivation,Derivazione,Derivación,Παραγωγή,Вывод,Afledning,推导
Ablenkbarkeit,多様性,Diversibility,Diversibilité,Diversibilità,Diversibilidad,Διαφορότης,Разнообразие,Diversitet,多样性
ablenken,順番,turn,tour,giro,giro,στροφή,повернуть,tur,转动
absolut,絶対,absolutely,Tout à fait,assolutamente,absolutamente,απολύτως,абсолютно,absolut,绝对地
Abstand,距離,Distance,Distance,Distanza,Distancia,Απόσταση,Расстояние,Afstand,距离
Abstraktion,抽象化,abstraction,abstraction,astrazione,abstracción,αφαίρεση,абстракция,abstraktion,抽象
Achse,軸,axis,axe,asse,eje,άξονας,ось,akse,轴
Additionstheorem,追加定理,Addition theorem,Théorème d'addition,Teorema aggiuntivo,Teorema de suma,Επιπλέον θεώρημα,Дополнительная теорема,Tilføjelse af sætning,添加定理
additive,添加物,additives,additifs,additivi,aditivos,πρόσθετα,добавки,Tilsætningsstoffer,添加剂
ähnlicher,もっと似ています,more similar,plus similaire,più simile,más similar,Παρόμοια,более похожие,mere lignende,更相似
all,alles,Alles,Alles,Alles,Ales,Υπαίθρια,Аллес,Alles,Alles
alle,みんな,Everyone,Tout le monde,Tutti,Todo el mundo,Ολοι,Каждый,Alle sammen,每个人
allerdings,それはそう,Indeed,En effet,Infatti,Por cierto,Πράγματι,Верно,Ja,的确
allgemein,全般的,general,général,generale,general,γενικός,Генеральная,generel,一般的
Allgemeinheit,一般性,Generality,Généralité,Generalità,Generalidad,Γενικότητα,Общность,Generalitet,概论
als,なので,as,comme,come,como,όπως και,в качестве,som,作为
also,それで,so,alors,Così,asi que,Έτσι,так,så,所以
am,で,at the,au,al,en el,στο,в,ved,在
Amplitude,振幅,amplitude,amplitude,ampiezza,amplitud,εύρος,амплитуда,amplitude,振幅
an,の上,on,sur,Su,en,επί,на,på,上
analoge,アナログ,analog,analogique,analogico,cosa análoga,αναλογικό,аналоговый,Analog,类似物
Analoges,類似,Analogous,Analogue,Analogo,Análogo,Ανάλογος,Аналогичный,Analog,类似
andere,他の,other,autre,Altro,otro,άλλα,Другой,Andet,其他
ändern,変化する,change,monnaie,modificare,cambio,αλλαγή,сдача,lave om,改变
Änderung,変形,modification,modification,modifica,modificación,τροποποίηση,модификация,modifikation,修改
Anfang,始まり,beginning,début,inizio,comienzo,αρχή,начало,starten,开始
Anfangs,初めに,At first,En premier,All'inizio,En primer lugar,Αρχικά,Во-первых,Først,首先
Anfangsgeschwindigkeit,初期速度,Initial speed,Vitesse initiale,Velocità iniziale,Velocidad inicial,Αρχική ταχύτητα,Начальная скорость,Oprindelig hastighed,初始速度
Anfangslage,初期の状況,Initial situation,Situation initiale,Situazione iniziale,Situación inicial,Αρχική κατάσταση,Первоначальный ситуация,Den oprindelige situation,最初情况
Anfangspunkt,出発点,Starting point,Point de départ,Punto di partenza,Punto de partida,Αφετηρία,Отправная точка,Udgangspunktet,初始点
Anfangspunkte,初期点,Initial points,Points initiaux,Punti iniziali,Puntos iniciales,Αρχικά σημεία,Начальные точки,Indledende punkter,初始点
Angabe,仕様,specification,spécification,specifica,especificación,προσδιορισμός,Технические характеристики,Specifikation,规格
Angaben,宣言,Declarations,Déclarations,Dichiarazioni,Declaraciones,Δηλώσεις,Декларации,Erklæringer,声明
angebracht,適切な,appropriate,approprié,adeguata,adecuado,κατάλληλος,соответствующий,passende,合适的
angeführte,リストされています,listed,répertorié,elencato,listado,εγγεγραμμένος,перечислен,Listet,列出
angeführten,リストされています,listed,répertorié,elencato,listado,εγγεγραμμένος,перечислен,Listet,列出
angegebenen,指定,specified,spécifié,specificato,especificado,καθορισμένος,указано,specificeret,指定的
angenommen,想定されています,assumed,assumé,presunto,ficticio,υποτίθεται,предполагается,antages,假定
angibt,示されています,indicated,indiqué,indicato,indicado,υποδεικνυόμενος,указано,angivet,表明的
Ankommen,到着,Arrive,Arriver,Arrivare,Llegar,Φθάνω,Прибыть,Ankomme,到达
Ankunft,到着,arrival,Arrivées,arrivo,llegada,άφιξη,прибытие,ankomst,到达
anlange,インシデント,incident,incident,incidente,incidente,περιστατικό,инцидент,utilsigtet hændelse,事件
Anlegen,投資,Invest,Investir,Investire,Invertir,Επενδύω,Инвестировать,Investere,投资
Anlehnung,傾く,Leaning,Penché,Pendente,Propensión,Κλίση,Наклоняющийся,Læner sig,倾斜
annähernd,ほぼ,nearly,presque,quasi,por poco,σχεδόν,Около,næsten,几乎
Annäherung,和解,Rapprochement,Rapprochement,Riavvicinamento,Acercamiento,Προσέγγιση,Спред,Tilnærmelse,和睦
Annalen,年代記,annals,annales,annali,anales,χρονικά,Аннал,Annals,志
annehmen,受け入れる,accept,J'accepte,accettare,aceptar,αποδέχομαι,принимать,acceptere,接受
Anregung,刺激,Stimulation,Stimulation,Stimolazione,Estímulo,Διέγερση,Стимуляция,Stimulation,刺激
anwenden,使用する,use,utilisation,uso,usar,χρήση,использовать,brug,利用
anwendet,使用済み,used,utilisé,Usato,usó,μεταχειρισμένος,использовал,Brugt,用过的
Anwendung,応用,application,application,applicazione,solicitud,εφαρμογή,заявление,Ansøgning,应用
Anzahl,番号,number,Numéro,numero,número,αριθμός,количество,nummer,数字
anzubaften,禁止される,to be banned,pour être banni,essere bandito,Ser prohibido,να απαγορευτεί,быть запрещенным,at blive forbudt,被禁止
anzugeben,示す,indicate,indiquer,indicare,indicar,υποδεικνύω,указывать,angive,表明
anzunehmen,受け入れる,accept,J'accepte,accettare,aceptar,αποδέχομαι,принимать,acceptere,接受
anzusehen,見るために,to watch,regarder,guardare,ver,να δω,смотреть,at se,观看
äquivalent,に相当,equivalent to,équivalent à,equivalente a,equivalente a,ισοδυναμεί με,эквивалентно,svarende til,相当于
Arbeit,仕事,work,travailler,opera,trabajar,δουλειά,Работа,arbejde,工作
Arbeiten,働くために,To work,Travailler,Lavorare,Trabajar,Για να δουλέψω,Работать,At arbejde,去工作
Argument,口論,argument,dispute,discussione,argumento,διαφωνία,аргумент,argument,争论
Argumente,議論,Arguments,Arguments,argomenti,Argumentos,Επιχειρήματα,Аргументы,Argumenter,参数
Art,親切,Kind,Gentil,Genere,Tipo,Είδος,Добрый,Venlig,种类
Asymmetrie,非対称,asymmetry,asymétrie,asimmetria,asimetría,ασυμμετρία,асимметрия,Asymmetri,不对称
Asymmetrien,非対称,Asymmetries,Asymétries,Asimmetrie,Asimetrías,Ασυμμετρίες,Асимметрия,Asymmetrier,不对称
at,で,at,à,a,a,στο,в,på,在
Auch,また,Also,Aussi,Anche,También,Επίσης,Также,Også,还
Auf,の上,on,sur,Su,en,επί,на,på,上
aufeinander,お互いに,on each other,sur l'un et l'autre,l'uno sull'altro,el uno del otro,ο ένας στον άλλο,друг на друга,på hinanden,彼此
Auffassung,意見,opinion,opinion,opinione,opinión,γνώμη,мнение,mening,观点
Aufgabe,仕事,task,tâche,compito,tarea,έργο,задача,opgave,任务
aufgefaßt,要約,summarized,résumé,riassunto,resumido,συνοπτικός,суммировано,opsummeret,总结
aufgestellte,設定,set -up,d'installation,impostare,configurar,στήνω,настраивать,Opsætning,设置
